image,num_lines,trend_1,trend_2,trend_3,trend_4,trend_5,trend_overall
1012.0126v1-Figure8-1.png,2,ylabel decreases at an almost constant looking rate,ylabel decreases at an almost constant looking rate,,,,Both lines decrease as xlabel increases. They are very close in their values and slopes but line 2 retains higher starting and ending ylabel over line 1.
1012.0126v1-Figure8-1.png,2,the line decreases on the ylabel steadily from around _value_ _value_ to _value_ _value_ as the xlabel increases from _value_ to _value_.,the line decreases on the ylabel steadily from around _value_ _value_ to _value_ _value_ as the xlabel increases from _value_ to _value_.,,,,"Both lines have a similar downward curve, decreasing at a similar rate. Line 2 starts above Line 1. The lines do not cross and follow a smooth downward curve."
1012.0126v1-Figure8-1.png,2,the line ylabel decreases from slightly below _value_ down to _value_ as xlabel increases from _value_ to _value_,the line ylabel decreases from slightly below _value_ down to _value_ as xlabel increases from _value_ to _value_,,,,Line 1 and 2 follow the same path of decline with line 2 just above line 1.
1908.07009v3-Figure5-1.png,1,the line starts at ylabel value _value_ and quickly drops to _value_ as xlabel value goes from _value_ to _value_. ylabel value is then sporadic with small increases and decreases and is _value_ when xlabel value is _value_.,,,,,"Line 1 sees a quick, drastic decrease and then stabilizes, with minor decreases and increases."
1908.07009v3-Figure5-1.png,1,ylabel decreases quickly then fluctuates around a value of _value_.,,,,,Line 1 trends to fall rapidly as xlabel decreases but gets slightly erratic as xlabel moves between _value_ and _value_. The steepest fall in line 1 ylabel is from xlabel _value_ to _value_.
1204.6583v1-Figure6-1.png,1,"the line starts at ylabel _value_ and increases to ylabel _value_ at xlabel _value_, then plateaus between xlabel _value_ and xlabel _value_. Then the line makes a steep climb at xlabel _value_ ending at ylabel _value_",,,,,Line 1 has two steep increases and plateaus.
1204.6583v1-Figure6-1.png,1,ylabel starts flat _value_ then increases linearly then is flat _value_ for longer then increases linearly again.,,,,,ylabel has two constant sections and increases at a constant rate outside of those parts.
1911.01559v2-Figure17-1.png,2,ylabel decreases at a decreasing rate as xlabel increases.,ylabel is roughly constant,,,,"Line 1 makes a gradual drop along ylabel. It is slightly steeper at first, and then flattens out a bit. Line 2 remains fairly flat the entire way, making a tiny rise."
1907.05036v1-Figure7-1.png,2,ylabel decreases from just below _value_ to approximately _value_ as xlabel increases to _value_,ylabel decreases at a decreasing rate as xlabel increases.,,,,"Line 2 begins with a steep decrease, then meets Line 1 at xlabel _value_ and tapers off."
1907.05036v1-Figure7-1.png,2,ylabel decreases at a roughly constant rate.,ylabel decreases at a decreasing rate.,,,,Line 2 starts above line 1 but drops at a faster rate and ends up below line 1.
1507.04657v1-Figure2-1.png,1,ylabel increases at a decreasing rate and plateaus to a value of about _value_.,,,,,Line 1 begins with a steep increase then plateaus
1006.2691v1-Figure4-1.png,2,ylabel decreases at a slightly decreasing rate ,ylabel plateaus at just above _value_ across all xlabel values,,,,Line 1 trends in gradual decline while Line 2 plateaus across all xlabel values
1003.5771v2-Figure2-1.png,1,ylabel decreases at a decreasing rate as xlabel increases.,,,,,ylabel decreases at a decreasing rate as xlabel increases and starts to plateau.
1003.5771v2-Figure2-1.png,1,ylabel decreases at a decreasing rate and starts to flatten,,,,,Line 1 begins with a steep decrease then plateaus across xlabel _value_ to _value_
1003.5771v2-Figure2-1.png,1,"ylabel reduces exponentially from _value_ to around _value_ as the values of xlabel increases from around _value_ to _value_. The values of ylabel reduces significantly from _value_ to around _value_ for the xlabel range of _value_ to _value_. After this sharp fall, the rate of reduction of ylabel values reduces.",,,,,"For the initial values of xlabel, the rate of reduction of ylabel values of line 1 is very high compared to the rate of reduction for the subsequent xlabel values. line 1 also shows a trend to reach to a constant value of around _value_."
1908.05409v1-Figure11-1.png,1,"ylabel decreases from _value_ to _value_, then increases at xlabel _value_ and continues to climb",,,,,"Line 1 dips slightly at the start, then continues increasing at an increasing rate."
1405.6200v1-Figure4-1.png,2,ylabel increases at a roughly constant rate. It appears slightly curved up.,ylabel increases at a roughly constant rate. It appears slightly curved up.,,,,Both lines start at roughly the same point but Line 2 increases at a much faster rate.
1405.6200v1-Figure4-1.png,2,The ylabel value shows a uniform rise from _value_ to _value_ as the xlabel value increases from _value_ to _value_.,The ylabel value shows a uniform rise from _value_ to _value_ as the xlabel value increases from _value_ to _value_,,,,Line 2 is steeper than line 1 and reaches a higher value.
1503.02852v1-Figure3-1.png,4,ylabel generally increases at a constant rate.,ylabel first drops slightly then increases at a decreasing rate.,ylabel generally increases at a constant rate,ylabel increases at a decreasing rate. ,,Line 1 has a faster increase rate than line 3. Line 1 starts below line 4 but surpasses it and reaches line 2 at the very end. Line 2 is above all lines at all times.
1207.4526v1-Figure8-1.png,2,ylabel has a periodic pattern around a value of _value_ then drops to _value_ and forms four concave down bounces.,ylabel has a periodic pattern around a value of _value_ then drops to _value_ and forms four damping concave down bounces.,,,,The periodic pattern of line 1 has a greater amplitude than line 2. Line 1 gets to _value_ before line 2.
1212.4899v1-Figure4-1.png,4,ylabel decreases at a roughly constant rate as xlabel increases,ylabel decreases at a roughly constant rate as xlabel increases,ylabel decreases at a roughly constant rate as xlabel increases,ylabel decreases at a roughly constant rate as xlabel increases,,All lines have the same trend with line 1 slightly above the other lines.
1506.04787v2-Figure10-1.png,1,ylabel increases then plateaus from xlabel _value_ to _value_ after a slight decline.,,,,,ylabel increases then plateaus from xlabel _value_ to _value_ after a slight decline.
1206.4863v1-Figure6-1.png,4,ylabel minimally decreases from _value_ to _value_ as a function of increasing xlabel from _value_ to _value_.,ylabel has an overall increasing trend as xlabel increases but starts decreasing slightly towards the end.,Overall there is minimal increase in ylabel as xlabel increases.,Overall ylabel is roughly constant as xlabel increases. ,,"Line 2 has a noticeable overall increase while line 1, 3, and 4 are generally constant."
1405.6874v2-Figure2-1.png,2,ylabel increases at an increasing rate.,ylabel increases at an increasing rate.,,,,Both lines start fairly flat and then increase. Line 1 is always above line 2.
1405.6874v2-Figure2-1.png,2,ylabel starts almost flat then increases at an increasing rate,ylabel starts almost flat then increases at an increasing rate,,,,Line 1 and 2 have the same shape but line 1 is above line 2.
1911.04719v2-Figure11-1.png,4,The ylabel value increases linearly from _value_ to _value_. The xlabel value increases from _value_ to _value_.,The ylabel value increases linearly from _value_ to _value_. The xlabel value increases from _value_ to _value_.,The ylabel value increases linearly from _value_ to _value_. The xlabel value increases from _value_ to _value_.,The ylabel value increases linearly from _value_ to _value_. The xlabel value increases from _value_ to _value_.,,All of the lines are linear and increase at the same rate. Line 4 is significantly below the other lines.
1402.1801v1-Figure9-1.png,3,"the line ylabel takes steep drop when xlabel is at _value_,then ylabel continues a steady decline ending at xlabel _value_.","the line ylabel has a gradual decrease as xlabel increases to _value_, then ylabel has a steep decrease,as xlabel increases to _value_","the line ylabel has a steep drop as xlabel increases to _value_, then ylabel plateaus as xlabel increases to _value_",,,"Line 1 and 3 follow a similar trajectory, while Line 2 starts at the highest point on the ylabel and dropping significantly as xlabel increases to _value_"
1911.06105v1-Figure5-1.png,2,ylabel decreases at a decreasing rate.,ylabel increases at a decreasing rate,,,,The lines start at the same point and converge apart.
1601.04512v1-Figure7-1.png,3,ylabel has an overall increase at a decreasing rate. The line has some periodic noise.,ylabel has an overall increase at a decreasing rate in a step like fashion.,ylabel increases at a decreasing rate. It is fairly smooth.,,,All lines have the same overall trend. Line 3 is always above line 2 which is always above line 1. Line 1 is the least smooth and line 3 the most smooth.
1204.1207v1-Figure17-1.png,2,ylabel shows two increases and two decreases. The overall trend is decreasing.,ylabel decreases at a decreasing rate and plateaus around _value_.,,,,Line 1 bounces up and down along xlabel while line 2 consistently decreases. Both lines end up at the same point.
1204.1207v1-Figure17-1.png,2,the line zigzag up and down on the ylabel beginning at about _value_ then drops to _value_ at middle and ends at _value_. the line begins going up from _value_ then at middle at _value_ then ends at _value_ on xlabel.,the line declines steeply downwards from about _value_ downwards to _value_ then slightly curves flat and ends at about _value_. the line begins at _value_ and ends at _value_ on xlabel.,,,,Line 2 starts above line 1 intersects with it and ends up at the same point as line 1.
1204.1207v1-Figure17-1.png,2,The overall pattern of ylabel is decreasing.,ylabel decreases at a decreasing rate.,,,,Both lines are decreasing but line 2 decreases more smoothly.
1207.2604v1-Figure12-1.png,2,ylabel has a slight decrease at the start and is then generally constant,ylabel decreases at a slightly decreasing rate.,,,,Line 1 is always below line 2. Line 1 has a very slight drop but is generally flat while line 2 decreases at a faster rate.
1207.2604v1-Figure12-1.png,2,ylabel decreases slightly as xlabel increases,ylabel decreases at a slightly decreasing rate as xlabel increases,,,,Line 2 decreases more rapidly and gets closer to line 1 as xlabel increases.
1207.2604v1-Figure12-1.png,2,ylabel decreases as xlabel increases,ylabel decreases as xlabel increases,,,,Line 2 has a higher starting and ending ylabel value while line 1 has a lower starting and ending ylabel value as xlabel increases.
1509.02464v2-Figure11-1.png,2,xlabel decreases at a decreasing rate,xlabel decreases at a decreasing rate,,,,Line 2 decreases at a slower rate relative to line 1 but they both plateau at _value_
1512.01683v1-Figure3-1.png,2,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,,,,Line 1 and 2 follow a similar decline trend with Line 1 slightly above Line 2
1512.01683v1-Figure3-1.png,2,ylabel falls with a slight curve from _value_ to _value_ as xlabel moves from _value_ to _value_. It falls almost in a straight diagonal with a slight upward bend resembling an extremely loose bow string.,ylabel falls with a slight curve from _value_ to _value_ as xlabel moves from _value_ to _value_. It falls almost in a straight diagonal with a slight upward bend resembling an extremely loose bow string.,,,,Both lines share a very similar pattern as xlabel increases. There is a slight gap in start and end times on xlabel expressed. Line 2 starts and finishes sooner as xlabel increases and line 1 retains a slower start and finish point.
1502.03147v1-Figure7-1.png,3,ylabel increases at a decreasing rate. It has an inflection point at xlabel _value_ then it increases at an increasing rate reaches another inflection point around xlabel _value_ then it increases at a decreasing rate until it plateaus to a value of _value_.,ylabel increases at a decreasing rate. It has an inflection point at xlabel _value_ then it increases at an increasing rate reaches another inflection point around xlabel _value_ then it increases at a decreasing rate until it plateaus to a value of _value_.,ylabel increases at a decreasing rate. It has an inflection point at xlabel _value_ then it increases at an increasing rate reaches another inflection point around xlabel _value_ then it increases at a decreasing rate until it plateaus to a value of _value_.,,,All lines have the same overall shape. Line 2 plateaus sooner than line 1 and 3.
1212.4692v1-Figure4-1.png,2,ylabel increases at an increasing rate,ylabel increases at an increasing rate,,,,The lines start at the same point but line 1 grows faster
1408.2512v1-Figure1-1.png,2,ylabel increases mostly at a constant rate as xlabel increases,ylabel increases mostly at a constant rate as xlabel increases,,,,Line 2 increases at a faster rate and diverges away from line 1 despite starting at the same point.
1406.2844v1-Figure9-1.png,2,ylabel increases roughly at a constant rate,ylabel increases at a slightly decreasing rate,,,,Both lines follow the same increase trend with Line 1 slightly lower than Line 2 between xlabel _value_ to _value_
1206.4863v1-Figure5-1.png,2,ylabel decreases at a decreasing rate.,ylabel decreases at a decreasing rate and then plateaus to a value of _value_.,,,,Both lines begin at the same point but line 2 decreases a lot faster.
1206.4863v1-Figure5-1.png,2,ylabel decreases from _value_ to _value_ as xlabel increases from _value_ to _value_. The decrease is sharp at first and then begins to flatten out when ylabel reaches _value_.,ylabel decreases from _value_ to _value_ as xlabel increases from _value_ to _value_. The decrease is sharp at first and then begins to flatten out,,,,Line 2 is below line 1 and decreases at a faster rate
1206.4863v1-Figure5-1.png,2,"the line drops quickly from about _value_ to about _value_ on the ylabel, while increasing from _value_ to about _value_ on the xlabel. Then it tapers and slowly decreases to about _value_ on the ylabel, while increasing to about _value_ on the xlabel.","the line drops from about _value_ to about _value_ on the ylabel, while increasing from _value_ to about _value_ on the xlabel. Then it tapers off and steadily decreases to _value_ the ylabel while continuing to increase to about _value_ on the xlabel.",,,,Line 2 drops further than Line 1.
1206.3286v1-Figure2-1.png,4,the line is a straight horizontal line right above _value_ on the ylabel,the line is a straight horizontal line right below _value_ on the ylabel,ylabel is concave down at first then it is concave up. It has an inflection point close to xlabel _value_,ylabel is concave down at first then it is decreasing nearly at a constant rate. The inflection point is near _value_.,,Line 1 and 2 are horizontal. Line 3 and 4 have a similar shape and line 3 is above line 4.
1206.3286v1-Figure2-1.png,4,"the line is constant, with a ylabel of _value_ for all xlabel values.","the line is constant, with a ylabel of _value_ for all xlabel values.",ylabel first increases to maximum of about _value_ then decreases at an increasing rate then decreases at a decreasing rate.,ylabel first increases to maximum of about _value_ then decreases at an increasing rate then decreases at a constant rate,,The line 1 and 2 are constant. Lines 3 and 4 have similar shapes.
1411.6091v1-Figure5-1.png,4,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,,Line 3 and 4 have roughly the same slope. Line 2 is the highest line and line 3 the lowest. Lines 1 and 4 cross each when xlabel is at _value_.
1411.6091v1-Figure5-1.png,4,The ylabel value increases to _value_ as the xlabel value increases from _value_ to _value_.,ylabel value increases from _value_ to _value_ as the xlabel value increases to _value_.,The ylabel value increases to _value_ as xlabel value increases to above _value_.,The ylabel value increases to _value_ as the xlabel value increases to above _value_.,,Lines 2 to 3 have roughly the same slope but line 1 has a slightly higher slope.
1506.02220v1-Figure7-1.png,3,ylabel increases at an increasing rate _value_ to about _value_ as xlabel goes from _value_ to _value_.,"the line is constant, with a ylabel of _value_ for all xlabel values.","the line is also constant, with a ylabel of _value_ and slightly increases from _value_ to _value_ xlabel values.",,,"Line 2 and 3 are very similar while line 1 increases, going above them."
1506.02220v1-Figure7-1.png,3,ylabel increases at an increasing rate,the line is a horizontal line,the line is a horizontal line,,,All lines start at the same point but line 1 increases going above them
1006.5367v1-Figure3-1.png,4,ylabel drops quickly to about _value_ and then remains mostly flat,ylabel first increases a bit then decreases at a decreasing rate plateauing to a value of _value_.,ylabel decreases at a decreasing rate then plateaus to a value of _value_,ylabel decreases at a roughly constant rate,,All lines start at the same point. Line 1 has the fastest drop then line 3 then line 2 then line 4.
1201.4479v1-Figure2-1.png,2,"ylabel increases from _value_ to _value_ as xlabel increases from _value_ to _value_, plateaus at xlabel _value_","ylabel increases from _value_ to _value_ as xlabel increases from _value_ to _value_, plateaus at xlabel _value_",,,,Line 2 is slightly above line 1 but they end up converging
1206.2082v4-Figure6-1.png,2,ylabel increases at an increasing rate at first then at a decreasing rate until it plateaus,ylabel decreases at a roughly constant rate then it becomes horizontal at a value of _value_,,,,Line 1 and 2 cross each other at xlabel _value_ and ylabel _value_
1206.2082v4-Figure6-1.png,2,"ylabel increases exponentially from _value_ to around _value_ as xlabel increases from _value_ to around _value_. The rate of increase of ylabel decreases for the next point and becomes constant value of _value_ for the final two values of xlabel, which are around _value_ and _value_.","ylabel decreases almost linearly from around _value_ to _value_ as the values xlabel changes from _value_ to around _value_. After ylabel reaches to _value_, it becomes constant for the rest of the increasing values of xlabel.",,,,Line 1 and 2 have opposite trends and intersect at around ylabel of _value_ and xlabel of _value_
1403.1322v1-Figure2-1.png,1,ylabel increases linearly with xlabel,,,,,Line 1 is a linearly increasing line
1403.1322v1-Figure2-1.png,1,ylabel increases at a constant rate as xlabel increases,,,,,ylabel increases at a constant rate as xlabel increases.
1907.09585v1-Figure6-1.png,3,ylabel has a steep drop at first then increases at a roughly constant rate. The line is noisy.,ylabel has a steep drop at first then increases at a decreasing rate and plateaus to a value of _value_. The line is noisy.,ylabel has a steep drop at first then increases at a decreasing rate and plateaus to a value of _value_. The line is noisy.,,,"Lines 1, 2,and 3 have the same steep drop at first. Noise levels increase in all Lines after their respective steep drops. Line 1 has the greatest drop and is below the other two lines."
1907.08722v1-Figure6-1.png,2,ylabel decreases at a decreasing rate and plateaus to a value of _value_,ylabel decreases at a decreasing rate and plateaus to a value of _value_,,,,The lines intersect when xlabel is _value_ and ylabel is _value_. They have a similar trend.
1907.08722v1-Figure6-1.png,2,ylabel has a sudden decrease in value followed by a plateau,ylabel has a sudden decrease in value followed by a plateau,,,,The lines have the same trend but line 1 is below that of line 2
1907.08722v1-Figure6-1.png,2,The line is curved. It decreases and then plateaus to ylabel of _value_.,The line is curved. It decreases and then plateaus to ylabel of _value_.,,,,The lines start at the same point. Line 1 is above line 2 at first then it is below it.
1911.03193v1-Figure2-1.png,2,ylabel gradually decreases then has a steep drop at a decreasing rate then it plateaus and becomes noisy.,ylabel steadily decreases then becomes flat and noisy.,,,,Line 1 is above line 2 at first but they both plateau to a value of _value_. The noise seems slightly more in line 1.
1412.4175v1-Figure1-1.png,5,ylabel increase at a decreasing rate,ylabel increase at a decreasing rate,ylabel increase at a decreasing rate,ylabel increase at a decreasing rate,ylabel increase at a decreasing rate,"Line 1, 2, 3 are close together, line 4 is significantly below them and line 5 is even lower. All lines have the same shape."
1102.3939v1-Figure7-1.png,1,ylabel is extremely noisy. ylabel has a sharp increase then is flat then has a sharp decrease.,,,,,The average trend is that the line increases then is flat then decreases but there is a lot of noise.
1102.3939v1-Figure7-1.png,1,ylabel follows a noisy behavior with an initial increase followed by a horizontal portion and ending with a noisy decrease.,,,,,"line 1 begins with a steep increase, plateaus, then ends in a steep decrease. It is noisy."
1206.0338v4-Figure3-1.png,1,ylabel increases at a decreasing rate then plateaus to a value of _value_.,,,,,ylabel increases at a decreasing rate then plateaus to a value of _value_.
1206.0338v4-Figure3-1.png,1,"the line has a steep increase from ylabel _value_ to ylabel _value_ as xlabel increases to _value_, then Line plateaus at ylabel _value_, as xlabel increases to _value_",,,,,Line 1 has a steep increase then plateaus
1206.0338v4-Figure3-1.png,1,ylabel increases as xlabel increases plateauing when xlabel equals _value_.,,,,,ylabel increases as xlabel increases plateauing when xlabel equals 5.
1405.5507v1-Figure5-1.png,2,ylabel starts flat then mildly decreases at a decreasing rate.,ylabel first decreases at an increasing rate then at a decreasing rate until it plateaus.,,,,Line 2 is above line 1 and has a more significant drop such that it gets closer to line 1 as xlabel increases.
1405.5507v1-Figure5-1.png,2,ylabel has an overall decreasing trend with xlabel. It is a bit flat first then declines.,ylabel starts flat then decreases at a decreasing rate,,,,The lines have similar shapes but line 2 decreases more than line 1 and is above it.
1506.05143v2-Figure5-1.png,1,ylabel decreases linearly with xlabel.,,,,,ylabel decreases linearly with xlabel.
1506.05143v2-Figure5-1.png,1,ylabel decreases at a constant rate,,,,,Line 1 has a gradual constant rate decrease
1403.2360v1-Figure6-1.png,2,ylabel increase at a roughly constant rate,ylabel increases first at an increasing rate then at a decreasing rate then at a constant rate.,,,,The lines start at the same point but Line 2 increase more than line 1.
1403.2360v1-Figure6-1.png,2,ylabel increases from _value_ to around _value_ as xlabel increases from around _value_ to _value_. For the xlabel range of around _value_ to _value_ ylabel increases at a faster rate than the increase of ylabel for the xlabel values from _value_ to _value_.,"As the values of xlabel increases from around _value_ to _value_, the values of ylabel rises from around _value_ to _value_. Initially, ylabel increases exponentially for the xlabel range of _value_ to _value_ and then it starts to plateau",,,,"Although, both line 1 and line 2 have an increasing trend, line 2 increases at a faster rate than line 1."
1512.01609v2-Figure7-1.png,2,ylabel decreases at a decreasing rate then becomes flat,ylabel has a constant value.,,,,ylabel decreases at a decreasing rate then becomes flat
1512.01609v2-Figure7-1.png,2,ylabel sharply decreases then plateaus at xlabel _value_ to _value_,ylabel is horizontal with a value above _value_.,,,,Line 1 declines and plateaus to the same value as line 2.
1412.4616v1-Figure5-1.png,1,ylabel decreases at a decreasing rate and plateaus to a value just below _value_,,,,,ylabel decreases at a decreasing rate and plateaus to a value just below _value_
1412.4616v1-Figure5-1.png,1,ylabel decreases at a slowing rate becoming nearly flat,,,,,Line 1 has an initial steep decrease then plateaus across xlabel _value_ to _value_
1412.4616v1-Figure5-1.png,1,ylabel rapidly decreases and then plateaus.,,,,,Line 1 rapidly decreases and then plateaus.
1907.10839v1-Figure6-1.png,2,ylabel increases at a decreasing rate then drops almost vertically.,"ylabel increases at a decreasing rate, peaks, then starts slowly declining and suddenly drops almost vertically.",,,,Both lines follow a similar trend but line 1 is shifted to the right of line 2.
1602.07732v1-Figure2-1.png,1,ylabel decreases at a decreasing rate then plateaus.,,,,,ylabel decreases at a decreasing rate then plateaus.
1602.07732v1-Figure2-1.png,1,ylabel rapidly decreases and asymptotically reaches _value_.,,,,,"ylabel stabilizes around _value_ at xlabel _value_. ylabel remains relatively stable from that point on. Prior, ylabel is going down at a decreasing rate."
1602.07732v1-Figure2-1.png,1,ylabel has a decreasing trend with a decreasing rate.,,,,,ylabel has a decreasing trend with a decreasing rate. 
1908.01834v1-Figure18-1.png,1,ylabel increases linearly from around _value_ to around _value_ as the values of xlabel increases from around _value_ to around _value_.,,,,,"line 1 shows a linearly increasing trend with a minimum ylabel value of around _value_ and a maximum ylabel value of around _value_ for xlabel values of nearly _value_ and nearly _value_, respectively."
1910.03390v2-Figure11-1.png,1,ylabel increases linearly with xlabel,,,,, ylabel increases linearly with xlabel
1910.03390v2-Figure11-1.png,1,"As the xlabel values increases from _value_ to _value_, the values of ylabel increases linearly from _value_ to _value_ at a constant rate.",,,,,"line 1 shows a linearly increasing trend. Initially, both ylabel and xlabel values of line 1 start at _value_ and then ylabel reaches its maximum value of _value_ for xlabel value of _value_."
1910.03390v2-Figure11-1.png,1,ylabel goes from _value_ to almost _value_ while xlabel goes from _value_ to almost _value_. ylabel increases at a constant rate.,,,,,ylabel continues to increase consistently for all xlabel values. 
1512.07654v3-Figure7-1.png,4,ylabel stays constant at _value_ as xlabel goes from _value_ to _value_. ylabel decreases at a significant rate from _value_ to _value_ as xlabel goes from _value_ to _value_.,ylabel stays constant at _value_ as xlabel goes from _value_ to _value_. ylabel decreases at a significant rate from _value_ to _value_ as xlabel goes from _value_ to _value_.,ylabel stays constant at _value_ as xlabel goes from _value_ to _value_. ylabel decreases at a significant rate from _value_ to _value_ as xlabel goes from _value_ to _value_.,ylabel decreases from _value_ to _value_ as xlabel increases from _value_ to _value_. ylabel increases from _value_ to _value_ as xlabel increases from _value_ to _value_. ylabel steadily decreases from _value_ to _value_ as xlabel increases from _value_ to _value_. ylabel decreases at a significant rate from _value_ to _value_ as xlabel increases from _value_ to _value_.,,"line 1, line 2, and line 3 start at the same point and stays steady until they drop, but ylabel for line 1 stops at _value_. ylabel for line 2 and line 3 both stop at _value_. ylabel for line 4 starts at _value_ and has a more steady decrease until it reaches _value_."
1502.04099v1-Figure4-1.png,2,the line ylabel increases from about _value_ to approximately _value_ as xlabel increases from _value_ to _value_,the line ylabel increases from approximately _value_ to ylabel _value_ as xlabel increases from _value_ to _value_,,,,Both lines have a roughly constant increase. Line 1 appears to have a slightly greater slope.
1004.3071v4-Figure1-1.png,2,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,,Line 2 drops more rapidly to _value_ than line 1.
1405.6636v2-Figure3-1.png,3,ylabel increases at an increasing rate,ylabel increases at a slightly increasing rate,ylabel increases at a roughly steady rate,,,Line 1 starts and finishes significantly higher than the other two lines. Line 2 starts the lowest and ends the lowest. Line 3 starts in between these two lines and ends in between the two other lines. The lines do not cross paths at any point although the slopes are all different.
1411.3433v1-Figure5-1.png,3,"At first, ylabel decreases from _value_ to around _value_ as the values of xlabel increases from _value_ to _value_. At xlabel value of _value_ ylabel increases to _value_ and stays constant for the rest of the xlabel values.",ylabel decreases from around _value_ to around _value_ as xlabel increases from _value_ to _value_. The decrease of ylabel occurs in a linear fashion.,"As xlabel increases from _value_ to _value_, the values of ylabel decreases from around _value_ to around _value_. The fall of ylabel with increasing xlabel values follows a linear trend.",,,"Among the three lines, line 1 falls for xlabel value of up to 5 whereas line 2 and line 3 continuously show a downward trend for the total range of xlabel. In line 1, line 2 and line 3 a slight rise in ylabel values occur at xlabel value of _value_. Although, the rate of fall of line 2 and line 3 are almost same, line 2 ylabel values are slightly larger than line 3 ylabel values. ylabel values of line 1 are larger than the other two lines for all xlabel values."
1909.00934v1-Figure5-1.png,2,ylabel slightly increases as xlabel moves from _value_ to _value_ and then decreases as xlabel past _value_,ylabel remains constant as xlabel increases,,,,Line 1 is above line 2 at first but intersects with it at xlabel of about _value_ and goes below it.
1909.00934v1-Figure5-1.png,2,ylabel slightly increases reaching a peak at xlabel _value_ then decreases at an increasing rate.,ylabel is flat with a value of _value_,,,,Line 1 crosses line 2 at ylabel value of _value_ and xlabel value of _value_
1909.00934v1-Figure5-1.png,2,ylabel smoothly increases then decreases at more at an increasing rate. The line is mostly concave down.,ylabel maintains the same value at all xlabel values.,,,,The peak of line 1 is above line 2.
1605.08381v1-Figure8-1.png,3,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,,,all lines follow the same path of increase. Line 2 is slightly below line 1 and 3.
1502.03543v1-Figure4-1.png,1,ylabel increases at a decreasing rate and slightly decreases towards the end.,,,,,ylabel increases at a decreasing rate and slightly decreases towards the end. The line is concave down.
1502.03543v1-Figure4-1.png,1,ylabel goes from around _value_ to almost _value_ while xlabel goes from less than _value_ to more than _value_. ylabel increases at a decreasing rate.,,,,,ylabel increases most quickly around xlabel _value_. ylabel decreases at higher xlabel values around _value_.
1409.3107v2-Figure5-1.png,3,ylabel increases at a decreasing rate,ylabel starts flat and then increases at a decreasing rate,the line is flat with a value of _value_,,,Line 1 and 2 have a similar trend and approach the horizontal line 3 as xlabel increases.
1409.3107v2-Figure5-1.png,3,"the line increases its value on the ylabel from _value_ to _value_ in a curve as the xlabel increases to _value_. Initially the rate of increase is rapid, slowing from an xlabel value of _value_ to a gentler curve.","the line has a constant ylabel value of _value_ on the xlabel from _value_ to _value_ where it then increases sharply on the ylabel in a curve to reach a ylabel value of _value_, the rate of increase in the ylabel slows as the xlabel value increases.","the line is a constant with a ylabel of _value_, forming a straight line along the xlabel.",,,Line 3 is a straight line whereas line 1 and 2 are curved. No lines intersect.
1411.1284v1-Figure2-1.png,2,"ylabel first decreases then increases suddenly to a peak around xlabel of _value_. After this point, ylabel decreases first quickly and then remains mainly flat with some up and down fluctuations.",ylabel decreases at a decreasing rate.,,,,The two lines are overlapping at first but around xlabel _value_ stop overlapping with line 1 being above line 2.
1212.2451v1-Figure4-1.png,2,ylabel linearly increases,ylabel linearly increases,,,,Line 1 is above line 2 and has a steeper slope so it diverges away from it.
1204.0803v1-Figure4-1.png,2,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,,,,The lines have the same shape with line 1 above line 2
1204.0803v1-Figure4-1.png,2,"ylabel goes from just under _value_ up to over _value_, while xlabel goes from _value_ to _value_. ylabel increases at a decreasing rate.","ylabel goes from roughly _value_ up to just under _value_, while xlabel goes from _value_ to _value_. ylabel increases at a decreasing rate.",,,,"The lines share the same range of xlabel values. The ylabel values increase at a very similar rate, causing the lines to be equally distant at all times."
1204.0803v1-Figure4-1.png,2,ylabel value increases at a slowing rate as xlabel increases,ylabel value increases at a slowing rate as xlabel increases,,,,Line 1 starts and ends at a higher ylabel than line 2 as xlabel increases. The lines have the same shape.
1403.0541v1-Figure3.7-1.png,3,ylabel increases at a constant rate,ylabel increases at a roughly constant rate,ylabel is flat with a value of about _value_.,,,Line 1 increases at a faster rate than line 2. Line 3 remains stagnant with ylabel at _value_.
1403.0541v1-Figure3.7-1.png,3,ylabel increases linearly,ylabel increases linearly,ylabel maintains the same value of _value_,,,Line 1 has the steepest slope then line 2 then line 3.
1402.2479v1-Figure10-1.png,3,ylabel increases at a decreasing rate from _value_ to about _value_ as xlabel goes from _value_ to _value_.,ylabel increases at a decreasing rate from _value_ to about _value_ as xlabel goes from _value_ to _value_.,ylabel increases at a decreasing rate from _value_ to about _value_ as xlabel goes from _value_ to _value_.,,,The lines start at the same point and slightly diverge as line 1 increases faster than line 2 which increases faster than line 3.
1911.08432v2-Figure4-1.png,4,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,,All lines start flat with ylabel value of _value_ and start decreasing. Line 1 decreases the fastest then line 2 then line 3. Line 4 has the slowest decline.
